date,price,type,bedrooms
2/7/2010,525000,house,4
2/27/2010,290000,house,3
3/7/2010,328000,house,3
3/9/2010,380000,house,4
3/21/2010,310000,house,3
4/4/2010,465000,house,4
4/24/2010,399000,house,3
4/30/2010,1530000,house,4
5/24/2010,359000,house,3
5/25/2010,320000,house,3
6/26/2010,385000,house,3
6/27/2010,305000,house,3
6/27/2010,850000,house,4
6/28/2010,765000,house,4
6/30/2010,517000,house,4
7/2/2010,800000,house,5
7/3/2010,336000,house,3
7/6/2010,535000,house,5
7/7/2010,900000,house,4
7/8/2010,327000,house,1
7/12/2010,427500,house,3
7/13/2010,780000,house,3
7/18/2010,530000,house,3
7/18/2010,590000,house,3
7/20/2010,525000,house,3
7/20/2010,549000,house,4
7/21/2010,1780000,house,4
7/30/2010,446000,house,3
7/30/2010,558000,house,4
7/31/2010,506000,house,3
7/31/2010,520000,house,4
8/3/2010,383000,house,3
8/3/2010,520000,house,3
8/7/2010,815000,house,5
8/10/2010,545500,house,3
8/10/2010,760000,house,3
8/11/2010,520000,house,3
8/11/2010,636000,house,3
8/14/2010,625000,house,4
8/16/2010,790000,house,4
8/21/2010,320000,house,3
8/21/2010,418000,house,5
8/21/2010,455000,house,4
8/23/2010,560000,house,4
8/24/2010,585000,house,4
8/28/2010,325000,house,2
8/28/2010,420000,house,4
8/29/2010,599000,house,3
8/30/2010,315000,house,2
8/30/2010,367000,house,3
8/31/2010,348000,house,3
8/31/2010,532500,house,4
9/3/2010,465000,house,3
9/4/2010,820000,house,4
9/6/2010,590000,house,3
9/11/2010,559000,house,4
9/15/2010,446000,house,4
9/18/2010,470000,house,3
9/20/2010,396500,house,4
9/20/2010,479000,house,3
9/21/2010,1460000,house,5
9/22/2010,500000,house,4
9/22/2010,506000,house,4
9/22/2010,520000,house,4
9/24/2010,920000,house,4
9/27/2010,507000,house,4
10/2/2010,475000,house,3
10/9/2010,397000,house,3
10/10/2010,556000,house,3
10/12/2010,447000,house,4
10/12/2010,720000,house,4
10/15/2010,273000,house,1
10/16/2010,368000,house,3
10/16/2010,385000,house,3
10/17/2010,560000,house,5
10/19/2010,455000,house,4
10/19/2010,480000,house,4
10/24/2010,300500,house,3
10/24/2010,505000,house,3
10/25/2010,135500,house,1
10/25/2010,590000,house,4
10/25/2010,645000,house,5
10/25/2010,770000,house,4
10/26/2010,1100000,house,5
11/2/2010,365000,house,3
11/2/2010,612500,house,4
11/5/2010,472500,house,4
11/5/2010,600000,house,5
11/7/2010,372500,house,3
11/8/2010,395000,house,3
11/8/2010,497000,house,2
11/8/2010,595000,house,4
11/12/2010,465000,house,2
11/12/2010,505000,house,4
11/16/2010,379000,house,3
11/16/2010,505000,house,3
11/17/2010,380000,house,3
11/17/2010,655000,house,4
11/17/2010,760000,house,3
11/17/2010,760500,house,3
11/20/2010,442500,house,4
11/22/2010,560000,house,4
11/23/2010,560000,house,4
11/24/2010,335000,house,3
11/24/2010,575000,house,3
11/27/2010,439000,house,3
11/29/2010,308000,house,1
11/29/2010,353000,house,3
11/30/2010,425000,house,3
11/30/2010,825000,house,3
12/1/2010,930000,house,5
12/3/2010,365000,house,3
12/3/2010,387000,house,3
12/4/2010,620000,house,4
12/5/2010,825000,house,3
12/6/2010,335000,house,3
12/7/2010,350000,house,3
12/8/2010,421000,house,3
12/8/2010,545000,house,4
12/12/2010,635000,house,4
12/13/2010,357500,house,3
12/13/2010,400000,house,4
12/13/2010,1105000,house,4
12/14/2010,259000,house,2
12/14/2010,437500,house,3
12/15/2010,530000,house,4
12/19/2010,630000,house,3
12/20/2010,615000,house,4
12/21/2010,332000,house,3
12/21/2010,490000,house,3
1/2/2011,309000,house,2
1/14/2011,413000,house,3
1/15/2011,445000,house,4
1/15/2011,600000,house,4
1/17/2011,417500,house,2
1/17/2011,462500,house,4
1/17/2011,485000,house,4
1/18/2011,580000,house,4
1/23/2011,380000,house,1
1/24/2011,560000,house,4
1/24/2011,575000,house,4
1/24/2011,1035000,house,4
1/30/2011,485000,house,3
2/1/2011,599000,house,4
2/4/2011,349000,house,3
2/7/2011,360000,house,3
2/7/2011,375000,house,3
2/7/2011,405000,house,3
2/8/2011,395000,house,3
2/9/2011,417000,house,3
2/9/2011,560000,house,3
2/9/2011,650000,house,4
2/11/2011,416000,house,4
2/12/2011,749000,house,4
2/15/2011,575000,house,4
2/15/2011,625000,house,3
2/16/2011,610000,house,5
2/19/2011,445000,house,4
2/21/2011,655000,house,5
2/23/2011,500000,house,4
2/23/2011,515000,house,2
2/23/2011,811000,house,5
2/27/2011,590000,house,4
2/27/2011,645000,house,5
2/27/2011,730000,house,4
2/28/2011,342000,house,3
2/28/2011,471000,house,4
2/28/2011,488000,house,3
3/13/2011,646000,house,4
3/14/2011,655000,house,4
3/15/2011,580000,house,3
3/19/2011,405000,house,3
3/20/2011,695000,house,4
4/9/2011,420000,house,4
4/9/2011,503000,house,3
4/10/2011,380000,house,3
4/11/2011,334000,house,3
4/11/2011,395000,house,3
4/11/2011,467500,house,4
4/14/2011,522500,house,3
4/14/2011,635000,house,5
4/14/2011,690000,house,4
4/14/2011,780000,house,4
4/15/2011,679000,house,5
4/18/2011,467000,house,3
4/21/2011,649000,house,5
4/22/2011,675000,house,4
4/23/2011,415000,house,3
4/23/2011,445000,house,4
4/24/2011,292500,house,1
4/24/2011,450000,house,3
4/29/2011,680000,house,4
4/29/2011,950000,house,4
4/30/2011,485000,house,3
5/1/2011,640000,house,4
5/2/2011,332000,house,2
5/2/2011,622500,house,4
5/2/2011,775000,house,4
5/5/2011,575000,house,2
5/5/2011,690000,house,3
5/9/2011,465000,house,3
5/12/2011,635000,house,5
5/13/2011,307000,house,2
5/14/2011,450000,house,3
5/16/2011,442000,house,3
5/16/2011,490000,house,3
5/17/2011,865000,house,5
5/19/2011,430000,house,4
5/23/2011,444000,house,3
5/27/2011,535000,house,3
5/28/2011,542000,house,4
5/30/2011,357000,house,3
6/2/2011,429000,house,3
6/2/2011,1180000,house,4
6/3/2011,375000,house,4
6/6/2011,526000,house,3
6/6/2011,760000,house,3
6/10/2011,447250,house,3
6/10/2011,492500,house,3
6/10/2011,727500,house,4
6/11/2011,360100,house,4
6/11/2011,750000,house,3
6/13/2011,365000,house,3
6/13/2011,670000,house,4
6/14/2011,419000,house,4
6/14/2011,515000,house,3
6/17/2011,340000,house,3
6/17/2011,600000,house,4
6/18/2011,362000,house,4
6/19/2011,765000,house,5
6/19/2011,770000,house,4
6/20/2011,469000,house,4
6/23/2011,367000,house,3
6/24/2011,465000,house,4
6/25/2011,375000,house,3
6/25/2011,505000,house,4
6/25/2011,605000,house,3
6/26/2011,325000,house,3
6/27/2011,421000,house,3
6/27/2011,550000,house,4
6/27/2011,590000,house,4
6/29/2011,522500,house,4
